actions,category,drugbank_id,known_action,organism,uniprot_id
agonist,target,DB00014,yes,Humans,P22888
agonist,target,DB00014,yes,Humans,P30968
activator,target,DB00015,yes,Humans,P00747
,target,DB00015,yes,Humans,P02671
,target,DB00015,unknown,Humans,Q03405
,target,DB00015,unknown,Humans,P05121
agonist,target,DB00016,yes,Humans,P19235
agonist,target,DB00017,unknown,Humans,P30988
agonist,target,DB00018,yes,Humans,P17181
agonist,target,DB00018,yes,Humans,P48551
inhibitor,enzyme,DB00018,unknown,Humans,P05177
agonist,target,DB00019,yes,Humans,Q99062
substrate,enzyme,DB00019,no,Humans,P08246
agonist,target,DB00020,yes,Humans,P15509
agonist,target,DB00020,yes,Humans,P26951
agonist,target,DB00020,yes,Humans,P32927
agonist,target,DB00020,unknown,Humans,P34741
,target,DB00020,unknown,Humans,P13727
agonist,target,DB00022,yes,Humans,P17181
agonist,target,DB00022,yes,Humans,P48551
inhibitor,enzyme,DB00022,unknown,Humans,P05177
inhibitor,enzyme,DB00022,unknown,Humans,P10635
inducer,enzyme,DB00022,unknown,Humans,P11712
inhibitor,carrier,DB00023,no,Humans,P05543
agonist,target,DB00024,yes,Humans,P16473
activator,target,DB00025,yes,Humans,P00742
cofactor,target,DB00025,yes,Humans,P00740
binder,target,DB00025,yes,Humans,P04275
antagonist,target,DB00025,unknown,Humans,O14832
binder,target,DB00025,unknown,Humans,P07307
chaperone,target,DB00025,unknown,Humans,P11021
chaperone,target,DB00025,unknown,Humans,P27797
chaperone,target,DB00025,unknown,Humans,P27824
chaperone,target,DB00025,unknown,Humans,P49257
modulator,target,DB00025,unknown,Humans,Q07954
modulator,target,DB00025,unknown,Humans,Q8NI22
activator,enzyme,DB00025,unknown,Humans,P00734
inactivator,enzyme,DB00025,unknown,Humans,P04070
antagonist,target,DB00026,yes,Humans,P14778
inhibitor,transporter,DB00027,unknown,Humans,P08183
antagonist,target,DB00028,yes,Humans,P12314
antagonist,target,DB00028,yes,Humans,Q92637
antagonist,target,DB00028,yes,Humans,P12318
antagonist,target,DB00028,yes,Humans,P31994
antagonist,target,DB00028,yes,Humans,P31995
antagonist,target,DB00028,yes,Humans,P08637
antagonist,target,DB00028,yes,Humans,O75015
binder,target,DB00028,yes,Humans,P01024
binder,target,DB00028,yes,Humans,P0C0L4
binder,target,DB00028,yes,Humans,P0C0L5
binder,target,DB00028,yes,Humans,P01031
activator,target,DB00029,yes,Humans,P00747
,target,DB00029,yes,Humans,P02671
,target,DB00029,unknown,Humans,Q03405
,target,DB00029,unknown,Humans,P05121
agonist,target,DB00030,yes,Humans,P06213
,target,DB00030,unknown,Humans,P08069
,target,DB00030,unknown,Humans,P06400
modulator,target,DB00030,unknown,Humans,P16870
cleavage,enzyme,DB00030,unknown,Humans,P14735
activator,enzyme,DB00030,unknown,Humans,P16519
activator,enzyme,DB00030,unknown,Humans,P29120
inducer,enzyme,DB00030,unknown,Humans,P05177
activator,target,DB00031,yes,Humans,P00747
,target,DB00031,yes,Humans,P02671
,target,DB00031,unknown,Humans,Q03405
,target,DB00031,unknown,Humans,P05121
,target,DB00031,unknown,Humans,P05120
,target,DB00031,unknown,Humans,P05452
,target,DB00031,unknown,Humans,P05787
,target,DB00031,unknown,Humans,P07355
,target,DB00031,unknown,Humans,P27797
,target,DB00031,unknown,Humans,P27824
,target,DB00031,unknown,Humans,Q07954
binder,target,DB00032,yes,Humans,P23945
,target,DB00032,yes,Humans,P22888
binder,target,DB00033,yes,Humans,P15260
binder,target,DB00033,yes,Humans,P38484
inhibitor,enzyme,DB00033,unknown,Humans,P05177
,target,DB00034,yes,Humans,P17181
,target,DB00034,yes,Humans,P48551
inhibitor,enzyme,DB00034,unknown,Humans,P05177
agonist,target,DB00035,yes,Humans,P30518
,target,DB00035,yes,Humans,P37288
,target,DB00035,yes,Humans,P47901
inducer,enzyme,DB00035,unknown,Humans,P23219
inducer,enzyme,DB00035,unknown,Humans,P35354
,target,DB00036,unknown,Humans,P00742
,target,DB00036,unknown,Humans,P05981
,target,DB00036,unknown,Humans,P10646
,target,DB00036,unknown,Humans,P38435
,target,DB00036,unknown,Humans,P08709
,target,DB00036,unknown,Humans,P13726
agonist,target,DB00038,yes,Humans,Q14626
binder,target,DB00039,yes,Humans,P21802
,target,DB00039,unknown,Humans,O14786
,target,DB00039,unknown,Humans,P11362
,target,DB00039,unknown,Humans,P22455
,target,DB00039,unknown,Humans,P22607
,target,DB00039,unknown,Humans,P98160
agonist,target,DB00040,yes,Humans,P47871
agonist,target,DB00040,unknown,Humans,O95838
agonist,target,DB00040,unknown,Humans,P43220
agonist|modulator,target,DB00041,yes,Humans,P14784
agonist|modulator,target,DB00041,yes,Humans,P01589
agonist,target,DB00041,yes,Humans,P31785
inducer,enzyme,DB00041,unknown,Humans,P35354
inducer,enzyme,DB00041,unknown,Humans,P47712
inhibitor,enzyme,DB00041,unknown,Humans,P08684
inducer,enzyme,DB00041,unknown,Humans,P47989
inhibitor,enzyme,DB00041,unknown,Humans,P05181
binder,target,DB00042,yes,Humans,P63027
binder,target,DB00042,yes,Humans,P23763
,target,DB00042,yes,Humans,Q8N9I0
inhibitor,target,DB00043,yes,Humans,P12319
inhibitor,target,DB00043,yes,Humans,Q01362
agonist,target,DB00044,yes,Humans,P22888
other/unknown,target,DB00045,yes,Humans,O60603
agonist,target,DB00046,yes,Humans,P06213
,target,DB00046,unknown,Humans,P08069
inducer,enzyme,DB00046,unknown,Humans,P05177
agonist,target,DB00047,yes,Humans,P06213
,target,DB00047,unknown,Humans,P08069
inducer,enzyme,DB00047,unknown,Humans,P05177
,target,DB00048,unknown,Humans,P02452
,target,DB00048,unknown,Humans,P02458
,target,DB00048,unknown,Humans,P02461
,target,DB00048,unknown,Humans,P08123
antagonist,target,DB00050,yes,Humans,P30968
,target,DB00050,unknown,Humans,P22888
antibody,target,DB00051,yes,Humans,P01375
binder,target,DB00052,yes,Humans,P10912
,target,DB00052,yes,Humans,P16471
antagonist,target,DB00054,yes,Humans,P05106
antagonist,target,DB00054,yes,Humans,P08514
,target,DB00054,unknown,Humans,O75015
,target,DB00054,unknown,Humans,P00736
,target,DB00054,unknown,Humans,P02745
,target,DB00054,unknown,Humans,P02746
,target,DB00054,unknown,Humans,P02747
,target,DB00054,unknown,Humans,P08637
,target,DB00054,unknown,Humans,P09871
,target,DB00054,unknown,Humans,P12314
,target,DB00054,unknown,Humans,P12318
,target,DB00054,unknown,Humans,P31994
,target,DB00054,unknown,Humans,P31995
,target,DB00054,unknown,Humans,P04004
multitarget,target,DB00055,yes,Humans,P00451
multitarget,target,DB00055,yes,Humans,P12259
,target,DB00055,unknown,Humans,P05121
,target,DB00055,unknown,Humans,P07204
,target,DB00055,unknown,Humans,P07225
,target,DB00055,unknown,Humans,P00450
,target,DB00055,unknown,Humans,P00734
,target,DB00055,unknown,Humans,P02776
,target,DB00055,unknown,Humans,P05154
,target,DB00055,unknown,Humans,P35237
,target,DB00055,unknown,Humans,P38435
,target,DB00055,unknown,Humans,Q9UNN8
antibody,target,DB00056,yes,Humans,P20138
,target,DB00056,unknown,Humans,O75015
,target,DB00056,unknown,Humans,P00736
,target,DB00056,unknown,Humans,P02745
,target,DB00056,unknown,Humans,P02746
,target,DB00056,unknown,Humans,P02747
,target,DB00056,unknown,Humans,P08637
,target,DB00056,unknown,Humans,P09871
,target,DB00056,unknown,Humans,P12314
,target,DB00056,unknown,Humans,P12318
,target,DB00056,unknown,Humans,P31994
,target,DB00056,unknown,Humans,P31995
inhibitor,target,DB00058,yes,Humans,P08246
inhibitor,carrier,DB00059,no,Humans,P05543
agonist,target,DB00060,yes,Humans,P17181
,target,DB00060,yes,Humans,P48551
inhibitor,enzyme,DB00060,unknown,Humans,P05177
binder,target,DB00061,unknown,Humans,P62993
,target,DB00063,yes,Humans,P05106
inhibitor,target,DB00065,yes,Humans,P01375
agonist,target,DB00066,yes,Humans,P23945
agonist,target,DB00067,yes,Humans,P30518
,target,DB00067,yes,Humans,P37288
,target,DB00067,yes,Humans,P47901
substrate,transporter,DB00067,unknown,Humans,Q92887
agonist,target,DB00068,yes,Humans,P17181
agonist,target,DB00068,yes,Humans,P48551
inhibitor,enzyme,DB00068,unknown,Humans,P05177
binder,target,DB00069,yes,Humans,P17181
binder,target,DB00069,yes,Humans,P48551
inhibitor,enzyme,DB00069,unknown,Humans,P05177
inhibitor,target,DB00070,unknown,Humans,P01137
inhibitor,carrier,DB00070,unknown,Humans,P02768
binder,target,DB00071,yes,Humans,P06213
,target,DB00071,unknown,Humans,P08069
,target,DB00071,unknown,Humans,P14735
,target,DB00071,unknown,Humans,P01906
,target,DB00071,unknown,Humans,P01920
,target,DB00071,unknown,Humans,P06400
,target,DB00071,unknown,Humans,P07339
,target,DB00071,unknown,Humans,P16870
,target,DB00071,unknown,Humans,P16519
,target,DB00071,unknown,Humans,P29120
,target,DB00071,unknown,Humans,P48745
,target,DB00071,unknown,Humans,P98164
,target,DB00071,unknown,Humans,Q16270
,target,DB00071,unknown,Humans,Q96C24
inducer,enzyme,DB00071,unknown,Humans,P05177
antibody,target,DB00072,yes,Humans,P04626
,target,DB00072,unknown,Humans,P00533
,target,DB00072,unknown,Humans,P00736
,target,DB00072,unknown,Humans,P02745
,target,DB00072,unknown,Humans,P02746
,target,DB00072,unknown,Humans,P02747
,target,DB00072,unknown,Humans,P09871
,target,DB00072,unknown,Humans,P12314
,target,DB00072,unknown,Humans,P12318
,target,DB00072,unknown,Humans,P31994
,target,DB00072,unknown,Humans,P31995
,target,DB00072,unknown,Humans,O75015
,target,DB00072,unknown,Humans,P08637
antibody,target,DB00073,yes,Humans,P11836
antibody,target,DB00074,yes,Humans,P01589
antibody,target,DB00074,unknown,Humans,P14784
,target,DB00074,unknown,Humans,P12314
,target,DB00074,unknown,Humans,P08637
,target,DB00074,unknown,Humans,P12318
,target,DB00074,unknown,Humans,P31994
,target,DB00074,unknown,Humans,P31995
,target,DB00074,unknown,Humans,O75015
,target,DB00074,unknown,Humans,P09871
,target,DB00074,unknown,Humans,P00736
,target,DB00074,unknown,Humans,P02745
,target,DB00074,unknown,Humans,P02746
,target,DB00074,unknown,Humans,P02747
,target,DB00075,yes,Humans,P04234
binder,target,DB00075,yes,Humans,P07766
,target,DB00075,yes,Humans,P09693
,target,DB00075,yes,Humans,P20963
,target,DB00075,unknown,Humans,O75015
,target,DB00075,unknown,Humans,P00736
,target,DB00075,unknown,Humans,P02745
,target,DB00075,unknown,Humans,P02746
,target,DB00075,unknown,Humans,P02747
,target,DB00075,unknown,Humans,P08637
,target,DB00075,unknown,Humans,P09871
,target,DB00075,unknown,Humans,P12314
,target,DB00075,unknown,Humans,P12318
,target,DB00075,unknown,Humans,P31994
,target,DB00075,unknown,Humans,P31995
antibody,target,DB00078,yes,Humans,P11836
,target,DB00078,unknown,Humans,O75015
,target,DB00078,unknown,Humans,P00736
,target,DB00078,unknown,Humans,P02745
,target,DB00078,unknown,Humans,P02746
,target,DB00078,unknown,Humans,P02747
,target,DB00078,unknown,Humans,P08637
,target,DB00078,unknown,Humans,P09871
,target,DB00078,unknown,Humans,P12314
,target,DB00078,unknown,Humans,P12318
,target,DB00078,unknown,Humans,P31994
,target,DB00078,unknown,Humans,P31995
antibody,target,DB00081,yes,Humans,P11836
,target,DB00081,unknown,Humans,O75015
,target,DB00081,unknown,Humans,P00736
,target,DB00081,unknown,Humans,P02745
,target,DB00081,unknown,Humans,P02746
,target,DB00081,unknown,Humans,P02747
,target,DB00081,unknown,Humans,P08637
,target,DB00081,unknown,Humans,P12314
,target,DB00081,unknown,Humans,P12318
,target,DB00081,unknown,Humans,P31994
,target,DB00081,unknown,Humans,P31995
antagonist,target,DB00082,yes,Humans,P10912
inducer,enzyme,DB00082,unknown,Humans,Q02318
inhibitor,enzyme,DB00082,unknown,Humans,P15104
inhibitor,enzyme,DB00082,unknown,Humans,P33260
inducer,enzyme,DB00082,unknown,Humans,P08684
inhibitor,enzyme,DB00082,unknown,Humans,P06276
inhibitor,enzyme,DB00082,unknown,Humans,Q02928
inhibitor,target,DB00083,yes,Humans,P60880
,target,DB00083,unknown,Humans,P62745
activator,target,DB00086,yes,Humans,P00747
cleavage,target,DB00086,unknown,Humans,P25116
inducer,enzyme,DB00086,unknown,Humans,P47712
antibody,target,DB00087,yes,Humans,P31358
,target,DB00087,unknown,Humans,O75015
,target,DB00087,unknown,Humans,P00736
,target,DB00087,unknown,Humans,P02745
,target,DB00087,unknown,Humans,P02746
,target,DB00087,unknown,Humans,P02747
,target,DB00087,unknown,Humans,P08637
,target,DB00087,unknown,Humans,P12314
,target,DB00087,unknown,Humans,P12318
,target,DB00087,unknown,Humans,P31994
,target,DB00087,unknown,Humans,P31995
other/unknown,target,DB00089,yes,Humans,Q04609
binder,target,DB00091,yes,Humans,P49069
inhibitor,target,DB00091,yes,Humans,Q96LZ3
,target,DB00091,unknown,Humans,P62937
binder,target,DB00091,unknown,Humans,P30405
inducer,enzyme,DB00091,unknown,Humans,P24462
substrate|inhibitor,enzyme,DB00091,unknown,Humans,P20815
substrate|inhibitor|inducer,enzyme,DB00091,unknown,Humans,P08684
inhibitor,enzyme,DB00091,unknown,Humans,P33261
inhibitor,enzyme,DB00091,unknown,Humans,P11712
inhibitor,enzyme,DB00091,unknown,Humans,P10635
substrate|inhibitor|inducer,transporter,DB00091,unknown,Humans,P08183
inhibitor,transporter,DB00091,unknown,Humans,O15438
inhibitor,transporter,DB00091,unknown,Humans,O95342
inhibitor,transporter,DB00091,unknown,Humans,P46721
inhibitor,transporter,DB00091,unknown,Humans,Q12908
inhibitor,transporter,DB00091,unknown,Humans,Q14973
inhibitor,transporter,DB00091,unknown,Humans,Q4U2R8
inhibitor,transporter,DB00091,unknown,Humans,Q5T3U5
inhibitor,transporter,DB00091,unknown,Humans,Q92887
inhibitor,transporter,DB00091,unknown,Humans,Q9UNQ0
inhibitor,transporter,DB00091,unknown,Humans,Q9Y6L6
inhibitor,transporter,DB00091,no,Humans,Q9NPD5
inhibitor,target,DB00092,yes,Humans,P06729
,target,DB00092,unknown,Humans,P00736
,target,DB00092,unknown,Humans,P02745
,target,DB00092,unknown,Humans,P02746
,target,DB00092,unknown,Humans,P02747
,target,DB00092,unknown,Humans,P08637
,target,DB00092,unknown,Humans,P12314
,target,DB00092,unknown,Humans,P12318
,target,DB00092,unknown,Humans,P31994
,target,DB00092,unknown,Humans,P31995
,target,DB00092,unknown,Humans,O75015
agonist,target,DB00093,yes,Humans,P37288
agonist,target,DB00094,yes,Humans,P23945
antibody,target,DB00095,yes,Humans,P20701
,target,DB00095,unknown,Humans,O75015
,target,DB00095,unknown,Humans,P00736
,target,DB00095,unknown,Humans,P02745
,target,DB00095,unknown,Humans,P02746
,target,DB00095,unknown,Humans,P02747
,target,DB00095,unknown,Humans,P08637
,target,DB00095,unknown,Humans,P12314
,target,DB00095,unknown,Humans,P12318
,target,DB00095,unknown,Humans,P31994
,target,DB00095,unknown,Humans,P31995
,target,DB00097,yes,Humans,P22888
binder,target,DB00097,yes,Humans,P23945
inhibitor,target,DB00098,unknown,Humans,P06126
antagonist,target,DB00098,yes,Humans,Q95460
,target,DB00098,yes,Humans,P20701
binder,target,DB00098,yes,Humans,P42081
,target,DB00098,yes,Humans,P31994
,target,DB00098,yes,Humans,P01730
,target,DB00098,yes,Humans,P05556
,target,DB00098,yes,Humans,P06756
,target,DB00098,yes,Humans,P05106
stimulator,target,DB00099,yes,Humans,Q99062
other/unknown,target,DB00099,unknown,Humans,P08246
activator,target,DB00100,yes,Humans,P00742
ligand,target,DB00100,yes,Humans,P03951
ligand,target,DB00100,yes,Humans,P08709
cofactor,target,DB00100,yes,Humans,P00451
,target,DB00100,unknown,Humans,P00734
,target,DB00100,unknown,Humans,Q07954
,target,DB00100,unknown,Humans,P38435
,target,DB00102,yes,Humans,P09619
,target,DB00102,unknown,Humans,P16234
,target,DB00102,unknown,Humans,P01023
,target,DB00104,yes,Humans,P30872
,target,DB00104,yes,Humans,P35346
binder,target,DB00104,yes,Humans,P30874
inhibitor,enzyme,DB00104,unknown,Humans,P05164
inhibitor,enzyme,DB00104,no,Humans,P08684
binder,target,DB00105,yes,Humans,P48551
binder,target,DB00105,yes,Humans,P17181
inhibitor,enzyme,DB00105,unknown,Humans,P05177
antagonist,target,DB00106,yes,Humans,P30968
agonist,target,DB00107,yes,Humans,P30559
binder,target,DB00107,unknown,Humans,P01178
substrate,enzyme,DB00107,unknown,Humans,P48147
antibody,target,DB00108,yes,Humans,P13612
,target,DB00108,unknown,Humans,O75015
,target,DB00108,unknown,Humans,P00736
,target,DB00108,unknown,Humans,P02745
,target,DB00108,unknown,Humans,P02746
,target,DB00108,unknown,Humans,P02747
,target,DB00108,unknown,Humans,P08637
,target,DB00108,unknown,Humans,P12314
,target,DB00108,unknown,Humans,P12318
,target,DB00108,unknown,Humans,P31994
,target,DB00108,unknown,Humans,P31995
,target,DB00108,unknown,Humans,P05362
,target,DB00109,yes,Human immunodeficiency virus 1,Q53I07
substrate,enzyme,DB00109,unknown,Humans,P33261
substrate,enzyme,DB00109,unknown,Humans,P05181
,target,DB00110,yes,Human respiratory syncytial virus B (strain 18537),P13843
,target,DB00110,unknown,Humans,O75015
,target,DB00110,unknown,Humans,P00736
,target,DB00110,unknown,Humans,P02745
,target,DB00110,unknown,Humans,P02746
,target,DB00110,unknown,Humans,P02747
,target,DB00110,unknown,Humans,P08637
,target,DB00110,unknown,Humans,P12314
,target,DB00110,unknown,Humans,P12318
,target,DB00110,unknown,Humans,P31994
,target,DB00110,unknown,Humans,P31995
antibody,target,DB00111,yes,Humans,P01589
antibody,target,DB00111,yes,Humans,P14784
,target,DB00111,unknown,Humans,O75015
,target,DB00111,unknown,Humans,P00736
,target,DB00111,unknown,Humans,P02745
,target,DB00111,unknown,Humans,P02746
,target,DB00111,unknown,Humans,P02747
,target,DB00111,unknown,Humans,P08637
,target,DB00111,unknown,Humans,P12314
,target,DB00111,unknown,Humans,P12318
,target,DB00111,unknown,Humans,P31994
,target,DB00111,unknown,Humans,P31995
,target,DB00112,yes,Humans,P15692
,target,DB00112,unknown,Humans,O75015
,target,DB00112,unknown,Humans,P00736
,target,DB00112,unknown,Humans,P02745
,target,DB00112,unknown,Humans,P02746
,target,DB00112,unknown,Humans,P02747
,target,DB00112,unknown,Humans,P08637
,target,DB00112,unknown,Humans,P12314
,target,DB00112,unknown,Humans,P12318
,target,DB00112,unknown,Humans,P31994
,target,DB00112,unknown,Humans,P31995
other/unknown,target,DB00113,unknown,Humans,P13688
cofactor,target,DB00114,unknown,Humans,Q9BYV1
cofactor,target,DB00114,unknown,Humans,Q99259
cofactor,target,DB00114,unknown,Humans,P35520
cofactor,target,DB00114,unknown,Humans,Q16719
cofactor,target,DB00114,unknown,Humans,P34896
cofactor,target,DB00114,unknown,Humans,Q9Y697
activator,target,DB00114,unknown,Humans,P17174
cofactor,target,DB00114,unknown,Humans,P04181
cofactor,target,DB00114,unknown,Humans,P11926
cofactor,target,DB00114,unknown,Humans,Q8N5Z0
inhibitor,target,DB00114,unknown,Humans,P80404
cofactor,target,DB00114,unknown,Humans,Q9NVS9
cofactor,target,DB00114,unknown,Humans,O95470
cofactor,target,DB00114,unknown,Humans,P17735
cofactor,target,DB00114,unknown,Humans,Q16773
cofactor,target,DB00114,unknown,Humans,Q8IYQ7
cofactor,target,DB00114,unknown,Humans,P06737
cofactor,target,DB00114,unknown,Humans,O15270
cofactor,target,DB00114,unknown,Humans,Q9Y600
cofactor,target,DB00114,unknown,Humans,P19113
cofactor,target,DB00114,unknown,Humans,Q96A70
cofactor,target,DB00114,unknown,Humans,P20132
cofactor,target,DB00114,unknown,Humans,O75600
cofactor,target,DB00114,unknown,Humans,P23378
cofactor,target,DB00114,unknown,Humans,P24298
cofactor,target,DB00114,unknown,Humans,Q9Y617
cofactor,target,DB00114,unknown,Humans,P13196
cofactor,target,DB00114,unknown,Humans,P21549
cofactor,target,DB00114,unknown,Humans,Q96GD0
cofactor,target,DB00114,unknown,Humans,O15269
cofactor,target,DB00114,unknown,Humans,P32929
cofactor,target,DB00114,unknown,Humans,P54687
cofactor,target,DB00114,unknown,Humans,O15382
cofactor,target,DB00114,unknown,Humans,O94903
cofactor,target,DB00114,unknown,Humans,O95954
cofactor,target,DB00114,unknown,Humans,P00505
cofactor,target,DB00114,unknown,Humans,P11216
cofactor,target,DB00114,unknown,Humans,P11217
cofactor,target,DB00114,unknown,Humans,P20711
cofactor,target,DB00114,unknown,Humans,Q2TU84
cofactor,target,DB00114,unknown,Humans,Q53ET4
cofactor,target,DB00114,unknown,Humans,Q59FK2
cofactor,target,DB00114,unknown,Humans,Q59GM9
cofactor,target,DB00114,unknown,Humans,Q59HE2
cofactor,target,DB00114,unknown,Humans,Q5JAM2
cofactor,target,DB00114,unknown,Humans,Q5VZ30
cofactor,target,DB00114,unknown,Humans,Q6IBS8
cofactor,target,DB00114,unknown,Humans,Q6P996
cofactor,target,DB00114,unknown,Humans,Q6YP21
cofactor,target,DB00114,unknown,Humans,Q6ZQY3
cofactor,target,DB00114,unknown,Humans,Q96I15
cofactor,target,DB00114,unknown,Humans,Q6WRI0
cofactor,target,DB00114,unknown,Humans,Q8IUZ5
cofactor,target,DB00114,unknown,Humans,Q8IVA8
cofactor,target,DB00114,unknown,Humans,P34897
cofactor,target,DB00114,unknown,Humans,P22557
cofactor,target,DB00114,unknown,Humans,Q8TD30
cofactor,target,DB00114,unknown,Humans,Q96EN8
cofactor,target,DB00114,unknown,Humans,Q96GA7
cofactor,target,DB00114,unknown,Humans,Q9BXA1
cofactor,target,DB00114,unknown,Humans,Q9GZT4
cofactor,target,DB00114,unknown,Humans,Q9HD40
cofactor,target,DB00114,unknown,Humans,Q9NUV7
cofactor,target,DB00114,unknown,Humans,Q9UGI5
cofactor,target,DB00114,unknown,Humans,Q9UJX1
cofactor,target,DB00115,yes,Humans,Q99707
cofactor,target,DB00115,yes,Humans,P22033
cofactor,target,DB00115,unknown,Humans,Q9UBK8
binder,target,DB00115,unknown,Humans,Q8IVH4
cofactor,target,DB00115,unknown,Humans,Q9Y4U1
cofactor,target,DB00115,unknown,Humans,P42898
substrate,enzyme,DB00115,unknown,Humans,Q96EY8
product of,enzyme,DB00115,unknown,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Q05599
substrate,transporter,DB00115,unknown,Humans,Q9BXJ7
substrate,transporter,DB00115,unknown,Humans,P20061
substrate,transporter,DB00115,unknown,Humans,P20062
substrate,transporter,DB00115,unknown,Humans,P27352
substrate,transporter,DB00115,unknown,Humans,O60494
,transporter,DB00115,unknown,Humans,P98164
,transporter,DB00115,unknown,Humans,P33527
cofactor,target,DB00116,unknown,Humans,P11586
cofactor,target,DB00116,unknown,Humans,P13995
cofactor,target,DB00116,unknown,Humans,P48728
cofactor,target,DB00116,unknown,Humans,O75891
cofactor,target,DB00116,unknown,Humans,Q99707
cofactor,target,DB00116,unknown,Humans,O95954
cofactor,target,DB00116,unknown,Humans,P31939
cofactor,target,DB00116,unknown,Humans,P34896
cofactor,target,DB00116,unknown,Humans,P34897
cofactor,target,DB00116,unknown,Humans,P42898
cofactor,target,DB00116,unknown,Humans,Q53ET4
cofactor,target,DB00116,unknown,Humans,Q96DP5
inhibitor,transporter,DB00116,unknown,Humans,Q92887
,target,DB00117,unknown,Humans,P19113
,target,DB00117,unknown,Humans,P12081
,target,DB00117,unknown,Humans,Q99624
,target,DB00117,unknown,Humans,P42357
substrate|inhibitor,transporter,DB00117,unknown,Humans,Q8TF71
cofactor,target,DB00118,unknown,Humans,Q14749
cofactor,target,DB00118,unknown,Humans,P17707
cofactor,target,DB00118,unknown,Humans,P31153
activator,target,DB00118,unknown,Humans,P35520
cofactor,target,DB00118,unknown,Humans,Q00266
cofactor,target,DB00118,unknown,Humans,P21964
,target,DB00118,unknown,Humans,Q8N1G2
,target,DB00118,unknown,Humans,Q9HBK9
inhibitor,enzyme,DB00118,unknown,Humans,P05181
substrate,enzyme,DB00118,unknown,Humans,P19623
,target,DB00119,unknown,Humans,O15427
,target,DB00119,unknown,Humans,P36021
,target,DB00119,unknown,Humans,Q9BYV1
,target,DB00119,unknown,Humans,O15375
,target,DB00119,unknown,Humans,P30613
,target,DB00119,unknown,Humans,O15403
,target,DB00119,unknown,Humans,O60669
,target,DB00119,unknown,Humans,P11177
,target,DB00119,unknown,Humans,P14618
inhibitor,target,DB00119,unknown,Humans,P80404
,target,DB00119,unknown,Humans,O15374
,target,DB00119,unknown,Humans,O95907
,target,DB00119,unknown,Humans,P53985
,target,DB00119,unknown,Humans,P11498
substrate|inhibitor,transporter,DB00119,unknown,Humans,O60669
substrate|inhibitor,transporter,DB00119,unknown,Humans,P53985
substrate|inhibitor,transporter,DB00119,unknown,Humans,Q8TF71
inhibitor,transporter,DB00119,unknown,Humans,Q92959
substrate,transporter,DB00119,unknown,Humans,O15427
,target,DB00120,unknown,Humans,P17735
,target,DB00120,unknown,Humans,Q9UHI5
,target,DB00120,unknown,Humans,Q9Y285
,target,DB00120,unknown,Humans,P00439
,target,DB00120,unknown,Humans,O95363
,target,DB00120,unknown,Humans,Q9NSD9
binder,target,DB00120,unknown,Humans,P07101
inhibitor,transporter,DB00120,unknown,Humans,Q8TF71
,target,DB00121,unknown,Humans,P05166
