drugbank_id	clinicaltrials_id
DB00159	EICOSAPENTAENOIC ACID
DB00159	EPANOVA
DB00159	ICOSAPENT
DB00159	OMEGA-3-CARBOXYLIC ACIDS
DB00160	ALANINE
DB00160	L-ALANINE
DB00161	L-VALINE
DB00161	VALINE
DB00162	RETINOL
DB00162	VITAMIN A
DB00165	HEXA-BETALIN
DB00165	PYRIDOXINE
DB00165	PYRIDOXINE HYDROCHLORIDE
DB00166	ALPHA LIPOIC ACID
DB00166	THIOCACID
DB00166	THIOCTIC ACID
DB00167	ISOLEUCINE
DB00167	L-ISOLEUCINE
DB00169	CHOLECALCIFEROL
DB00169	COLECALCIFEROL
DB00169	DELSTEROL
DB00169	VIGANTOL
DB00169	VITAMIN D3
DB00170	MENADIONE
DB00171	ADENOSINE TRIPHOSPHATE
DB00172	L-PROLINE
DB00172	PROLINE
DB00173	ADENINE
DB00174	ASPARAGINE
DB00175	CS-514
DB00175	PRAVACHOL
DB00175	PRAVASTATIN
DB00175	PRAVASTATIN SODIUM
DB00175	SQ-31,000
DB00175	SQ-31000
DB00176	DU-23000
DB00176	DU23000
DB00176	FLUVOXAMINE
DB00176	FLUVOXAMINE MALEATE
DB00176	LUVOX
DB00177	CGP 48933
DB00177	CGP-48933
DB00177	DIOVAN
DB00177	PREXXARTAN
DB00177	VALSARTAN
DB00178	ALTACE
DB00178	CARDACE
DB00178	DELIX
DB00178	HOE 498
DB00178	HOE-498
DB00178	RAMACE
DB00178	RAMIPRIL
DB00178	TRITACE
DB00178	VESDIL
DB00179	ACTINEX
DB00179	MASOPROCOL
DB00179	MESO-NDGA
DB00179	NORDIHYDROGUAIARETIC ACID
DB00180	AEROBID
DB00180	AEROSPAN
DB00180	FLUNISOLIDE
DB00180	NASALIDE
DB00180	NASAREL
DB00180	RS-3999
DB00181	ARBACLOFEN
DB00181	BACLOFEN
DB00181	GABLOFEN
DB00181	KEMSTRO
DB00181	LIORESAL
DB00181	STX-209
DB00181	STX209
DB00182	ADZENYS ER
DB00182	ADZENYS XR-ODT
DB00182	AMFETAMINE
DB00182	AMFETAMINE ASPARTATE
DB00182	AMFETAMINE SULFATE
DB00182	AMPHETAMINE
DB00182	AMPHETAMINE ASPARTATE
DB00182	AMPHETAMINE SULFATE
DB00182	BENZEDRINE
DB00182	DEXAMFETAMINE
DB00182	DEXAMFETAMINE SACCHARATE
DB00182	DEXAMFETAMINE SULFATE
DB00182	DEXEDRINE
DB00182	DEXTROAMPHETAMINE
DB00182	DEXTROAMPHETAMINE SACCHARATE
DB00182	DEXTROAMPHETAMINE SULFATE
DB00182	DEXTROSTAT
DB00182	DYANAVEL
DB00182	FERNDEX
DB00183	PENTAGASTRIN
DB00183	PEPTAVLON
DB00184	HABITROL
DB00184	NICODERM CQ
DB00184	NICORETTE
DB00184	NICOTINE
DB00184	NICOTINE BITARTRATE
DB00184	NICOTINE POLACRILEX
DB00184	NICOTROL
DB00184	PROSTEP
DB00185	AF-102B
DB00185	AF102B
DB00185	CEVIMELINE
DB00185	CEVIMELINE HYDROCHLORIDE
DB00185	EVOXAC
DB00185	FKS-508
DB00185	SNI-2011
DB00186	ATIVAN
DB00186	LORAZEPAM
DB00186	WY-4036
DB00187	ASL-8052
DB00187	BREVIBLOC
DB00187	ESMOLOL
DB00187	ESMOLOL HYDROCHLORIDE
DB00188	BORTEZOMIB
DB00188	LDP-341
DB00188	NSC-681239
DB00188	PS-341
DB00188	VELCADE
DB00190	CARBIDOPA
DB00190	CARBIDOPA MONOHYDRATE
DB00190	LODOSYN
DB00190	MK-486
DB00191	ADIPEX-P
DB00191	DUROMINE
DB00191	FASTIN
DB00191	IONAMIN
DB00191	OBY-TRIM
DB00191	PHENTERMINE
DB00191	PHENTERMINE HYDROCHLORIDE
DB00191	SUPRENZA
DB00191	ZANTRYL
DB00193	AMANDA
DB00193	CONTRAMAL
DB00193	CONZIP
DB00193	ETS-6103
DB00193	ETS6103
DB00193	TRADONAL
DB00193	TRAMADOL
DB00193	TRAMADOL HYDROCHLORIDE
DB00193	TRAMAL
DB00193	ULTRAM
DB00193	ZYDOL
DB00194	ADENOCARD
DB00194	ADENOSCAN
DB00194	ADENOSINE
DB00194	ARA-A
DB00194	ARASENA-A
DB00194	CI-673
DB00194	VIDARABINE
DB00194	VIDARABINE MONOHYDRATE
DB00194	VIRA-A
DB00195	ALO 1401-02
DB00195	ALO-1401-02
DB00195	ALO-140102
DB00195	BETAXOLOL
DB00195	BETAXOLOL HYDROCHLORIDE
DB00195	BETAXON
DB00195	BETOPTIC
DB00195	KERLONE
DB00195	LEVOBETAXOLOL
DB00195	LEVOBETAXOLOL HYDROCHLORIDE
DB00196	BAYT-006267
DB00196	BAYT006267
DB00196	DIFLUCAN
DB00196	FLUCONAZOLE
DB00196	UK-49,858
DB00196	UK-49858
DB00197	CI-991
DB00197	CS-045
DB00197	PRELAY
DB00197	REZULIN
DB00197	TROGLITAZONE
DB00198	GS 4104
DB00198	GS-4104
DB00198	GS4104
DB00198	OSELTAMIVIR
DB00198	OSELTAMIVIR PHOSPHATE
DB00198	RO-64-0796
DB00198	RO64-0796
DB00198	TAMIFLU
DB00199	AKNE-MYCIN
DB00199	E-BASE
DB00199	E-MYCIN
DB00199	E-SOLVE 2
DB00199	EMGEL
DB00199	ERY-TAB
DB00199	ERYCETTE
DB00199	ERYDERM
DB00199	ERYGEL
DB00199	ERYMAX
DB00199	ERYTHRA-DERM
DB00199	ERYTHROCIN
DB00199	ERYTHROCIN STEARATE
DB00199	ERYTHROMYCIN
DB00199	ERYTHROMYCIN GLUCEPTATE
DB00199	ERYTHROMYCIN GLUCOHEPTONATE
DB00199	ERYTHROMYCIN LACTOBIONATE
DB00199	ERYTHROMYCIN STEARATE
DB00199	ILOTYCIN
DB00199	ROBIMYCIN
DB00199	STATICIN
DB00199	T-STAT
DB00200	DEUTERIUM OXIDE
DB00201	ANHYDROUS CAFFEINE
DB00201	CAFCIT
DB00201	CAFFEINE
DB00201	CAFFEINE CITRATE
DB00201	PEYONA
DB00202	ANECTINE
DB00202	QUELICIN
DB00202	SUCCINYLCHOLINE BROMIDE
DB00202	SUCCINYLCHOLINE CHLORIDE
DB00202	SUXAMETHONIUM
DB00202	SUXAMETHONIUM BROMIDE
DB00202	SUXAMETHONIUM CHLORIDE
DB00203	HIP-0908
DB00203	HIP0908
DB00203	PATREX
DB00203	REVATIO
DB00203	SILDENAFIL
DB00203	SILDENAFIL CITRATE
DB00203	UK-92,480-10
DB00203	UK-92480-10
DB00203	VIAGRA
DB00204	DOFETILIDE
DB00204	TIKOSYN
DB00204	UK-68,798
DB00204	UK-68798
DB00205	DARAPRIM
DB00205	PYRIMETHAMINE
DB00206	RESERPINE
DB00206	SERPASIL
DB00207	AZASITE
DB00207	AZITHROCIN
DB00207	AZITHROMYCIN
DB00207	AZITHROMYCIN DIHYDRATE
DB00207	CP 62993
DB00207	CP-62,993
DB00207	CP-62993
DB00207	DURASITE
DB00207	SUMAMED
DB00207	XZ 450
DB00207	XZ-450
DB00207	ZITHROMAX
DB00207	ZYTHROMAX
DB00208	53-32C
DB00208	TICLID
DB00208	TICLOPIDINE
DB00208	TICLOPIDINE HYDROCHLORIDE
DB00209	SANCTURA
DB00209	SPASMEX
DB00209	SPASMOLYT
DB00209	TROSPIUM
DB00209	TROSPIUM CHLORIDE
DB00210	ADAPALENE
DB00210	CD 271
DB00210	CD-271
DB00210	DIFFERIN
DB00211	AMATINE
DB00211	GUTRON
DB00211	MIDODRINE
DB00211	MIDODRINE HYDROCHLORIDE
DB00211	ORVATEN
DB00211	PRO-AMATINE
DB00211	PROAMATINE
DB00211	ST 1085
DB00211	ST-1085
DB00213	BY 1023
DB00213	BY-1023
DB00213	PANTOLOC
DB00213	PANTOPRAZOLE
DB00213	PANTOPRAZOLE SODIUM
DB00213	PANTOPRAZOLE SODIUM SESQUIHYDRATE
DB00213	PANTOZOL
DB00213	PROTONIX
DB00213	SKF-96022
DB00214	DEMADEX
DB00214	TORASEMIDE
DB00214	TORSEMIDE
DB00215	CELEXA
DB00215	CIPRALEX
DB00215	CITALOPRAM
DB00215	CITALOPRAM HYDROBROMIDE
DB00215	ESCITALOPRAM
DB00215	ESCITALOPRAM OXALATE
DB00215	LEXAPRO
DB00215	LU 26-054-0
DB00215	LU-26-054-0
DB00216	ELETRIPTAN
DB00216	ELETRIPTAN HYDROBROMIDE
DB00216	RELPAX
DB00216	UK-116,044-04
DB00216	UK-116044-04
DB00218	AL-15469A
DB00218	AVELOX
DB00218	AVELOX IV
DB00218	BAY 12-8039
DB00218	BAY-12-8039
DB00218	MOXIFLOXACIN
DB00218	MOXIFLOXACIN HYDROCHLORIDE
DB00218	VIGAMOX
DB00220	AG-1343
DB00220	AG1343
DB00220	NELFINAVIR
DB00220	NELFINAVIR MESILATE
DB00220	NELFINAVIR MESYLATE
DB00220	VIRACEPT
DB00221	BETA-2
DB00222	AMARYL
DB00222	GLIMEPIRIDE
DB00222	HOE 490
DB00222	HOE-490
DB00224	CRIXIVAN
DB00224	INDINAVIR
DB00224	INDINAVIR SULFATE
DB00224	L-735,524
DB00224	L-735524
DB00224	MK-639
DB00227	ALTOPREV
DB00227	LOVASTATIN
DB00227	MEVACOR
DB00227	MK-803
DB00228	ALYRANE
DB00228	ENFLURANE
DB00228	ETHRANE
DB00229	ABBOTT-48999
DB00229	CEFOTIAM
DB00229	CEFOTIAM HYDROCHLORIDE
DB00229	SCE 963
DB00229	SCE-963
DB00230	CI-1008
DB00230	LYRICA
DB00230	PD-144723
DB00230	PREGABALIN
DB00230	YNP-1807
DB00231	RESTORIL
DB00231	TEMAZEPAM
DB00231	WY-3917
DB00232	AQUATENSEN
DB00232	ENDURON
DB00232	METHYCLOTHIAZIDE
DB00233	AMINOSALICYLIC ACID
DB00233	P-AMINOSALICYLIC ACID
DB00233	PASER
DB00234	EDRONAX
DB00234	ESREBOXETINE
DB00234	PNU-165442G
DB00234	PROLIFT
DB00234	REBOXETINE
DB00234	REBOXETINE MESILATE
DB00234	REBOXETINE MESYLATE
DB00234	VESTRA
DB00235	MILRINONE
DB00235	MILRINONE LACTATE
DB00235	PRIMACOR
DB00236	PIPOBROMAN
DB00236	VERCYTE
DB00237	UNICELLES
DB00238	BIRG 0587
DB00238	BIRG-0587
DB00238	NEVIRAPINE
DB00238	VIRAMUNE
DB00239	OXICONAZOLE
DB00239	OXICONAZOLE NITRATE
DB00239	OXISTAT
DB00239	RO 13-8996
DB00239	RO-13-8996
DB00239	SGD 301-76
DB00239	SGD-301-76
DB00241	BUTALBITAL
DB00242	CLADRIBINE
DB00242	LEUSTATIN
DB00242	LITAK
DB00242	RWJ 26251
DB00242	RWJ-26251
DB00243	RANEXA
DB00243	RANOLAZINE
DB00243	RS-43285
DB00244	APRISO
DB00244	ASACOL
DB00244	CANASA
DB00244	LIALDA
DB00244	MAX-002
DB00244	MESALAMINE
DB00244	MESALAZINE
DB00244	PENTASA
DB00244	ROWASA
DB00245	BENZATROPINE
DB00245	BENZATROPINE MESILATE
DB00245	BENZTROPINE
DB00245	BENZTROPINE MESILATE
DB00245	BENZTROPINE MESYLATE
DB00245	COGENTIN
DB00246	CP-88,059-1
DB00246	CP-88059-1
DB00246	GEODON
DB00246	ZELDOX
DB00246	ZIPRASIDONE
DB00246	ZIPRASIDONE HYDROCHLORIDE
DB00246	ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE
DB00246	ZIPRASIDONE MESYLATE
DB00248	CABASER
DB00248	CABERGOLINE
DB00248	DOSTINEX
DB00248	FCE 21336
DB00248	FCE-21336
DB00249	5-IUDR
DB00249	5IUDR
DB00249	ALLERGAN 211
DB00249	ALLERGAN-211
DB00249	DENDRID
DB00249	HERPLEX
DB00249	IDOXURIDINE
DB00249	NSC-39661
DB00249	STOXIL
DB00250	ACZONE
DB00250	DAPSONE
DB00250	DIAPHENYLSULFONE
DB00251	FUNGISTAT
DB00251	R 42470
DB00251	R-42,470
DB00251	R-42470
DB00251	TERAZOL 3
DB00251	TERCONAZOLE
DB00252	DILANTIN
DB00252	EPAMIN
DB00252	PHENYTEK
DB00252	PHENYTOIN
DB00252	PHENYTOIN SODIUM
DB00253	MEDRYSONE
DB00254	AB-08
DB00254	ACTICLATE
DB00254	ATRIDOX
DB00254	DORYX
DB00254	DOXY-LEMMON
DB00254	DOXYCHEL
DB00254	DOXYCHEL HYCLATE
DB00254	DOXYCYCLINE
DB00254	DOXYCYCLINE ANHYDROUS
DB00254	DOXYCYCLINE CALCIUM
DB00254	DOXYCYCLINE HYCLATE
DB00254	DOXYCYCLINE MONOHYDRATE
DB00254	DOXYLIN
DB00254	MONODOX
DB00254	ORACEA
DB00254	PERIOSTAT
DB00254	VIBRA-TABS
DB00254	VIBRAMYCIN
DB00254	VIBRAVENOS
DB00254	ZADORIN
DB00255	DIETHYLSTILBESTROL
DB00255	STILBESTROL
DB00255	STILBETIN
DB00256	LYMECYCLINE
DB00256	TETRALYSAL
DB00257	CLOTRIMAZOLE
DB00257	GYNE-LOTRIMIN
DB00257	LOTRIMIN
DB00257	MYCELEX
DB00258	ACETIC ACID
DB00258	ACETIC ACID, GLACIAL
DB00258	CALCIUM ACETATE
DB00258	ELIPHOS
DB00258	GLACIAL ACETIC ACID
DB00258	PHOSLO
DB00258	PHOSLYRA
DB00259	SULFANILAMIDE
DB00260	CYCLOSERINE
DB00260	SEROMYCIN
DB00262	BECENUN
DB00262	BICNU
DB00262	CARMUBRIS
DB00262	CARMUSTINE
DB00262	DTI-015
DB00262	FDA-0345
DB00262	GLIADEL
DB00262	NSC-409962
DB00262	SK-27702
DB00262	SRI-1720
DB00263	GANTRISIN
DB00263	SULFAFURAZOLE
DB00263	SULFISOXAZOLE
DB00263	SULFISOXAZOLE DIOLAMINE
DB00264	BELOC
DB00264	BETALOC
DB00264	CGP-2175
DB00264	LOPRESOR
DB00264	LOPRESSOR
DB00264	METOPROLOL
DB00264	METOPROLOL FUMARATE
DB00264	METOPROLOL SUCCINATE
DB00264	METOPROLOL TARTRATE
DB00264	SELOKEN
DB00264	SELOKEN-ZOK
DB00264	SELOZOK
DB00264	TOPROL
DB00264	TOPROL-XL
DB00268	REQUIP
DB00268	ROPINIROLE
DB00268	ROPINIROLE HYDROCHLORIDE
DB00269	CHLOROTRIANISENE
DB00270	DYNACIRC
DB00270	ISRADIPINE
DB00270	PN 200-110
DB00270	PN-200-110
DB00271	AMIDOTRIZOIC ACID
DB00271	CYSTOGRAFIN
DB00271	DIATRIZOATE MEGLUMINE
DB00271	DIATRIZOATE SODIUM
DB00271	HYPAQUE
DB00271	MEGLUMINE AMIDOTRIZOATE
DB00271	SODIUM AMIDOTRIZOATE
DB00273	MCN-4853
DB00273	RWJ-17021
DB00273	RWJ-17021-000
DB00273	TOPAMAX
DB00273	TOPIMAX
DB00273	TOPIRAMATE
DB00273	TOPOMAX
DB00273	USL-255
DB00273	USL255
DB00274	CEFMETAZOLE
DB00274	CEFMETAZOLE SODIUM
DB00274	U-72791A
DB00274	ZEFAZONE
DB00275	OLMESARTAN
DB00275	RNH-6270
DB00276	AMEKRIN
DB00276	AMSACRINE
DB00276	AMSIDINE
DB00276	AMSIDYL
DB00276	CI-880
DB00276	LAMASINE
DB00276	M-AMSA
DB00276	NSC-156303
DB00276	NSC-249992
DB00276	SN-11841
DB00277	AMINOPHYLLIN
DB00277	AMINOPHYLLINE
DB00277	ELIXOPHYLLIN
DB00277	PHYLLOCONTIN
DB00277	SOMOPHYLLIN
DB00277	THEO-24
DB00277	THEOCHRON
DB00277	THEOLAIR-SR
DB00277	THEOPHYLLINE
DB00277	THEOPHYLLINE MONOHYDRATE
DB00277	TRUPHYLLINE
DB00277	UNIPHYL
DB00278	ARGATROBAN
DB00278	MCI-9038
DB00278	MD-805
DB00278	NOVASTAN
DB00279	CYTOMEL
DB00279	LIOTHYRONINE
DB00279	LIOTHYRONINE I 131
DB00279	LIOTHYRONINE SODIUM
DB00279	TRIOSTAT
DB00280	DISOPYRAMIDE
DB00280	DISOPYRAMIDE PHOSPHATE
DB00280	NORPACE
DB00280	RITMILEN
DB00280	RYTHMODAN
DB00280	SC-13957
DB00281	AKTEN
DB00281	ALGRX 3268
DB00281	ALGRX-3268
DB00281	ALPHACAINE
DB00281	ANESTACON
DB00281	LIDOCAINE
DB00281	LIDOCAINE HYDROCHLORIDE
DB00281	LIDODERM
DB00281	ZINGO
DB00281	ZTLIDO
DB00282	PAMIDRONATE DISODIUM
DB00282	PAMIDRONIC ACID
DB00283	CLEMASTINE
DB00283	CLEMASTINE FUMARATE
DB00283	HS-592
DB00283	TAVIST
DB00285	EFFEXOR
DB00285	VENLAFAXINE
DB00285	VENLAFAXINE HYDROCHLORIDE
DB00285	WY-45,030
DB00285	WY-45030
DB00287	AL-6221
DB00287	TRAVATAN
DB00287	TRAVOPROST
DB00289	ATOMOXETINE
DB00289	ATOMOXETINE HYDROCHLORIDE
DB00289	LY-139603
DB00289	STRATTERA
DB00290	BLENAMAX
DB00290	BLEOCIN
DB00290	BLEOMYCIN
DB00290	BLEOMYCIN HYDROCHLORIDE
DB00290	BLEOMYCIN SULFATE
DB00290	BLEOMYCINS
DB00290	BLEOMYCINS SULFATE
DB00291	CB-1348
DB00291	CHLORAMBUCIL
DB00291	LEUKERAN
DB00291	NSC-3088
DB00292	AMIDATE
DB00292	ETOMIDATE
DB00292	HYPNOMIDATE
DB00293	RALTITREXED
DB00293	TOMUDEX
DB00293	ZD-1694
DB00293	ZD1694
DB00294	ETONOGESTREL
DB00294	IMPLANON
DB00294	ORG 3236
DB00294	ORG-3236
DB00296	NAROPIN
DB00296	ROPIVACAINE
DB00296	ROPIVACAINE HYDROCHLORIDE
DB00296	ROPIVACAINE HYDROCHLORIDE MONOHYDRATE
DB00296	TLC-590
DB00296	TLC590
DB00297	BUCAINE
DB00297	BUPIVACAINE
DB00297	BUPIVACAINE HYDROCHLORIDE
DB00297	CARBOSTESIN
DB00297	CHIROCAINE
DB00297	EXPAREL
DB00297	LEVOBUPIVACAINE
DB00297	LEVOBUPIVACAINE HYDROCHLORIDE
DB00297	LIQ-865
DB00297	LIQ865
DB00297	MARCAINE
DB00297	NOVABUPI
DB00297	SENSORCAINE
DB00297	SKY-0402
DB00297	SKY0402
DB00299	BRL-39123
DB00299	DENAVIR
DB00299	PENCICLOVIR
DB00299	PENCICLOVIR SODIUM
DB00300	GS-4331
DB00300	GS-4331-05
DB00300	GS-4331-05-
DB00300	PMPA PRODRUG
DB00300	PMPA-PRODRUG
DB00300	TENOFOVIR BIS(ISOPROPYLOXYCARBONYLOXYMETHYL) ESTER
DB00300	TENOFOVIR DISOPROXIL
DB00300	TENOFOVIR DISOPROXIL FUMARATE
DB00300	VIREAD
DB00301	FLOXACILLIN
DB00301	FLUCLOXACILLIN
DB00302	CYKLOKAPRON
DB00302	LB-1148
DB00302	LB1148
DB00302	LYSTEDA
DB00302	TRANEXAMIC ACID
DB00302	TRANS AMCHA
DB00302	TRANS-AMCHA
DB00302	TRANSAMIN
DB00303	ERTAPENEM
DB00303	ERTAPENEM SODIUM
DB00303	INVANZ
DB00303	L-749345
DB00303	MK-0826
DB00304	CERAZETTE
DB00304	DESOGESTREL
DB00304	MIRCETTE
DB00304	ORG 2969
DB00304	ORG-2969
DB00305	AMETYCINE
DB00305	MITOCIN-C
DB00305	MITOMYCIN
DB00305	MITOMYCIN C
DB00305	MITOSOL
DB00305	MUTAMYCIN
DB00305	MYTOZYTREX
DB00305	NSC-26980
DB00305	UGN-101
DB00305	UGN-102
DB00307	BEXAROTENE
DB00307	LGD-1069
DB00307	LGD1069
DB00307	TARGRETIN
DB00308	CORVERT
DB00308	IBUTILIDE
DB00308	IBUTILIDE FUMARATE
DB00308	U-70226E
DB00309	COMPOUND 112531
DB00309	COMPOUND-112531
DB00309	NSC-245467
DB00309	VINDESINE
DB00309	VINDESINE SULFATE
DB00310	CHLORTALIDONE
DB00310	CHLORTHALIDONE
DB00310	HYGROTON
DB00310	THALITONE
DB00312	BARPENTAL
DB00312	DIABUTAL
DB00312	NEMBUTAL
DB00312	NEMBUTAL SODIUM
DB00312	PENTAL
DB00312	PENTOBARBITAL
DB00312	PENTOBARBITAL SODIUM
DB00312	SAGATAL
DB00312	SODIUM PENTOBARBITAL
DB00313	DEPACON
DB00313	DEPAKENE
DB00313	DEPAKOTE
DB00313	DIVALPROEX SODIUM
DB00313	SODIUM VALPROATE
DB00313	VALPROATE SEMISODIUM
DB00313	VALPROATE SODIUM
DB00313	VALPROIC ACID
DB00314	CAPASTAT
DB00314	CAPASTAT SULFATE
DB00314	CAPREOMYCIN
DB00314	CAPREOMYCIN SULFATE
DB00316	ACEPHEN
DB00316	ACETAMINOPHEN
DB00316	DAFALGAN
DB00316	EFFERALGAN
DB00316	NEOPAP
DB00316	OFIRMEV
DB00316	PANADOL
DB00316	PARACETAMOL
DB00316	PERFALGAN
DB00316	TYLENOL
DB00317	GEFITINIB
DB00317	IRESSA
DB00317	ZD-1839
DB00317	ZD1839
DB00319	CL 227,193
DB00319	CL-227193
DB00319	PIPERACILLIN
DB00319	PIPERACILLIN SODIUM
DB00319	PIPRACIL
DB00319	T-1220
DB00320	D.H.E. 45
DB00320	DHE-45
DB00320	DIHYDROERGOTAMINE
DB00320	DIHYDROERGOTAMINE MESILATE
DB00320	DIHYDROERGOTAMINE MESYLATE
DB00320	DIHYDROERGOTAMINE METHANESULFONATE
DB00320	MAP-0004
DB00320	MAP0004
DB00320	MIGRANAL
DB00321	AMITRIL
DB00321	AMITRIPTYLINE
DB00321	AMITRIPTYLINE HYDROCHLORIDE
DB00321	ELAVIL
DB00321	ENDEP
DB00321	ETRAVIL
DB00321	LAROXYL
DB00322	FLOXURIDINE
DB00323	RO 40-7592
DB00323	RO-40-7592
DB00323	RO-407592
DB00323	TASMAR
DB00323	TOLCAPONE
DB00324	FLUOR-OP
DB00324	FLUOROMETHOLONE
DB00324	OXYLONE
DB00327	DILAUDID
DB00327	EXALGO
DB00327	HYDROMORPHONE
DB00327	HYDROMORPHONE HYDROCHLORIDE
DB00327	PALLADONE
DB00328	INDOCIN
DB00328	INDOMETACIN
DB00328	INDOMETACIN SODIUM TRIHYDRATE
DB00328	INDOMETHACIN
DB00328	TIVORBEX
DB00330	DEXAMBUTOL
DB00330	ETHAMBUTOL
DB00330	ETHAMBUTOL HYDROCHLORIDE
DB00330	ETIBI
DB00330	MYAMBUTOL
DB00330	SERVAMBUTOL
DB00330	SURAL
DB00331	DIABEX
DB00331	FORTAMET
DB00331	GLUCOPHAGE
DB00331	GLUCOPHAGE XR
DB00331	GLUMETZA
DB00331	METFORMIN
